participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Bao,expected_shift_required,0,1284,838,15,15,5.351377056696707,0.7960594907708685,0.17445482866043613,0.03271028037383177,0.004672897196261682,0.0,24226.21479713604,24423.560859188543,0.014319809069212411,0.1873508353221957
Bao,expected_shift_required,1,103,48,12,12,6.027049836224725,1.105561320508045,0.2621359223300971,0.06796116504854369,0.10679611650485436,0.009708737864077669,24586.145833333332,25705.75,0.0625,0.3125
Bao,expected_shift_required,<missing>,18,13,7,7,5.472382389028476,-0.21390525907372623,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_zone_proxy,<missing>,18,13,7,7,5.472382389028476,-0.21390525907372623,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_zone_proxy,center,375,214,15,15,5.328940714007121,-0.027872644494376545,0.224,0.048,0.0026666666666666666,0.0,19789.52336448598,19812.971962616823,0.004672897196261682,0.14485981308411214
Bao,expected_zone_proxy,left,343,237,15,15,5.528470964948844,0.31575899584554956,0.15160349854227406,0.03498542274052478,0.03206997084548105,0.0,26830.573839662447,27220.03375527426,0.02109704641350211,0.2320675105485232
Bao,expected_zone_proxy,right,522,416,15,15,5.435844541643719,0.06119173983766618,0.09578544061302682,0.03639846743295019,0.009578544061302681,0.0019157088122605363,25120.91346153846,25413.69471153846,0.021634615384615384,0.19471153846153846
Bao,expected_zone_proxy,space,147,19,8,8,5.168878329670562,6.8450205447430585,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,layout_switch_needed,0,1342,855,15,15,5.3846767947992324,0.805605955944742,0.18181818181818182,0.03576751117734724,0.011177347242921014,0.0007451564828614009,24676.226900584796,24928.647953216376,0.016374269005847954,0.1953216374269006
Bao,layout_switch_needed,1,11,3,1,1,5.860023057830204,4.409910010780042,0.36363636363636365,0.0,0.18181818181818182,0.0,17121.0,17121.0,0.0,1.0
Bao,layout_switch_needed,<missing>,52,41,15,15,5.7646277822217025,0.04866739427639212,0.09615384615384616,0.019230769230769232,0.0,0.0,15491.585365853658,15690.121951219513,0.04878048780487805,0.07317073170731707
Bao,target_distance_bin,<missing>,235,79,15,15,5.4208218080227715,4.39806017432553,0.33191489361702126,0.01702127659574468,0.01276595744680851,0.0,19396.556962025315,19520.835443037973,0.0379746835443038,0.1518987341772152
Bao,target_distance_bin,high,643,456,15,15,5.371946623767784,0.8540743086437059,0.14463452566096424,0.03110419906687403,0.006220839813374806,0.0,25100.554824561405,25337.06359649123,0.017543859649122806,0.18201754385964913
Bao,target_distance_bin,low,212,182,15,15,5.279739699570553,-1.5545469679399144,0.0660377358490566,0.0330188679245283,0.0,0.0,23552.021978021978,23840.774725274725,0.01098901098901099,0.18681318681318682
Bao,target_distance_bin,medium,315,182,15,15,5.533642973508687,-0.38408589435664775,0.21587301587301588,0.05714285714285714,0.031746031746031744,0.0031746031746031746,24835.4010989011,25130.68131868132,0.016483516483516484,0.24175824175824176
Chokdee`,expected_char_class,<missing>,13,13,7,7,4.476302246827535,-1.520655126548276,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
