source_node_id,target_node_id,source_physical_key_id,target_physical_key_id,source_keycode,target_keycode,distance,is_adjacent
Digit3,KeyR,Digit3,KeyR,51,82,1.0,1
Digit3,KeyS,Digit3,KeyS,51,83,2.0,0
Digit3,KeyT,Digit3,KeyT,51,84,2.0,0
Digit3,KeyU,Digit3,KeyU,51,85,4.0,0
Digit3,KeyV,Digit3,KeyV,51,86,3.0,0
Digit3,KeyW,Digit3,KeyW,51,87,1.0,1
Digit3,KeyX,Digit3,KeyX,51,88,3.0,0
Digit3,KeyY,Digit3,KeyY,51,89,3.0,0
Digit3,KeyZ,Digit3,KeyZ,51,90,3.0,0
Digit3,Minus,Digit3,Minus,51,189,8.0,0
Digit3,Period,Digit3,Period,51,190,6.0,0
Digit3,Quote,Digit3,Quote,51,222,8.0,0
Digit3,Semicolon,Digit3,Semicolon,51,186,7.0,0
Digit3,Slash,Digit3,Slash,51,191,7.0,0
Digit3,Space,Digit3,Space,51,32,,0
Digit4,Backquote,Digit4,Backquote,52,192,4.0,0
Digit4,Backslash,Digit4,Backslash,52,220,9.0,0
Digit4,BracketLeft,Digit4,BracketLeft,52,219,7.0,0
Digit4,BracketRight,Digit4,BracketRight,52,221,8.0,0
Digit4,Comma,Digit4,Comma,52,188,4.0,0
Digit4,Digit0,Digit4,Digit0,52,48,6.0,0
Digit4,Digit1,Digit4,Digit1,52,49,3.0,0
Digit4,Digit2,Digit4,Digit2,52,50,2.0,0
Digit4,Digit3,Digit4,Digit3,52,51,1.0,1
Digit4,Digit4,Digit4,Digit4,52,52,0.0,0
Digit4,Digit5,Digit4,Digit5,52,53,1.0,1
Digit4,Digit6,Digit4,Digit6,52,54,2.0,0
Digit4,Digit7,Digit4,Digit7,52,55,3.0,0
Digit4,Digit8,Digit4,Digit8,52,56,4.0,0
Digit4,Digit9,Digit4,Digit9,52,57,5.0,0
Digit4,Equal,Digit4,Equal,52,187,8.0,0
Digit4,KeyA,Digit4,KeyA,52,65,3.0,0
Digit4,KeyB,Digit4,KeyB,52,66,3.0,0
Digit4,KeyC,Digit4,KeyC,52,67,3.0,0
Digit4,KeyD,Digit4,KeyD,52,68,2.0,0
Digit4,KeyE,Digit4,KeyE,52,69,1.0,1
