participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
JJ,expected_hand_proxy,left,245,224,14,14,6.504152979639996,0.32385664522255464,0.04081632653061224,0.004081632653061225,0.0,0.0,47705.92857142857,47805.267857142855,0.013392857142857142,0.05803571428571429
JJ,expected_hand_proxy,right,727,606,14,14,5.946845012613327,0.11316715369746234,0.08390646492434663,0.013755158184319119,0.0068775790921595595,0.009628610729023384,41820.38613861386,41867.33828382838,0.0049504950495049506,0.07590759075907591
JJ,expected_hand_proxy,thumb,27,19,8,8,6.399559594750944,0.3086282155628077,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,expected_layout,<missing>,15,13,7,7,5.879153440765245,0.07947805657382563,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_layout,COMMON,27,19,8,8,6.399559594750944,0.3086282155628077,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,expected_layout,EN,16,8,2,2,6.6003791621156775,0.4745788288493096,0.25,0.0,0.1875,0.0,21974.125,21974.125,0.0,0.625
JJ,expected_layout,TH,956,822,14,14,6.078731943083511,0.16111311459831804,0.0700836820083682,0.011506276150627616,0.0020920502092050207,0.007322175732217573,43617.38321167883,43679.06812652068,0.0072992700729927005,0.06569343065693431
JJ,expected_shift_required,0,939,803,14,14,6.048377864040647,0.14962501125803232,0.0724174653887114,0.010649627263045794,0.005324813631522897,0.007454739084132056,42939.3798256538,43002.52428393524,0.007471980074719801,0.06973848069738481
JJ,expected_shift_required,1,60,46,11,11,6.837251648429919,0.4908745844414077,0.11666666666666667,0.016666666666666666,0.0,0.0,51726.45652173913,51726.45652173913,0.0,0.13043478260869565
JJ,expected_shift_required,<missing>,15,13,7,7,5.879153440765245,0.07947805657382563,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_zone_proxy,<missing>,15,13,7,7,5.879153440765245,0.07947805657382563,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_zone_proxy,center,268,204,14,14,5.925184492622043,0.1161988238918551,0.12313432835820895,0.029850746268656716,0.007462686567164179,0.014925373134328358,41450.25,41450.25,0.0,0.10784313725490197
JJ,expected_zone_proxy,left,245,224,14,14,6.504152979639996,0.32385664522255464,0.04081632653061224,0.004081632653061225,0.0,0.0,47705.92857142857,47805.267857142855,0.013392857142857142,0.05803571428571429
JJ,expected_zone_proxy,right,459,402,14,14,5.959492113610414,0.1113970281809106,0.06100217864923747,0.004357298474945534,0.006535947712418301,0.006535947712418301,42008.21641791045,42078.99502487562,0.007462686567164179,0.05970149253731343
JJ,expected_zone_proxy,space,27,19,8,8,6.399559594750944,0.3086282155628077,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,layout_switch_needed,0,957,819,14,14,6.06965276466135,0.15846790719537177,0.07210031347962383,0.011494252873563218,0.0020898641588296763,0.0073145245559038665,43908.84004884005,43970.75091575092,0.007326007326007326,0.07326007326007326
JJ,layout_switch_needed,1,5,3,1,1,7.139185547230108,0.7447687590796763,0.2,0.0,0.2,0.0,21494.666666666668,21494.666666666668,0.0,0.3333333333333333
JJ,layout_switch_needed,<missing>,52,40,14,14,6.413376756430365,0.3031711635579817,0.11538461538461539,0.0,0.038461538461538464,0.0,38887.0,38887.0,0.0,0.05
JJ,target_distance_bin,<missing>,110,78,14,14,6.519646085992609,0.3561825441706307,0.14545454545454545,0.0,0.03636363636363636,0.0,41693.01282051282,41693.01282051282,0.0,0.10256410256410256
JJ,target_distance_bin,high,501,434,14,14,6.031371753933514,0.20112519555508315,0.06786427145708583,0.011976047904191617,0.001996007984031936,0.005988023952095809,44036.73732718894,44104.47235023041,0.0069124423963133645,0.06682027649769585
JJ,target_distance_bin,low,195,177,14,14,5.824741262450174,-0.03525787617558951,0.046153846153846156,0.010256410256410256,0.0,0.010256410256410256,43831.54802259887,43831.54802259887,0.0,0.05649717514124294
JJ,target_distance_bin,medium,208,173,14,14,6.2651266850662495,0.18304814667672165,0.08173076923076923,0.014423076923076924,0.0,0.009615384615384616,43116.3063583815,43239.473988439306,0.017341040462427744,0.09248554913294797
Ja,expected_char_class,<missing>,13,13,7,7,5.98976519899095,0.09576699364764704,0.0,0.0,0.0,0.0,39051.307692307695,39051.307692307695,0.0,0.0
Ja,expected_char_class,arabic_numeral,11,5,2,2,6.390757851070163,0.37813626418785184,0.2727272727272727,0.0,0.18181818181818182,0.0,21762.6,21762.6,0.0,0.6
Ja,expected_char_class,english_punctuation,7,3,1,1,7.012554193935516,0.6967775941701858,0.2857142857142857,0.0,0.2857142857142857,0.0,16748.0,16748.0,0.0,0.6666666666666666
Ja,expected_char_class,thai_consonant,545,520,14,14,6.126839508302711,0.1628970681517949,0.022018348623853212,0.011009174311926606,0.0,0.0,30693.46923076923,30711.31923076923,0.0038461538461538464,0.023076923076923078
Ja,expected_char_class,thai_diacritic,7,7,5,5,6.873709555286046,0.4995016986970374,0.0,0.0,0.0,0.0,44919.0,44919.0,0.0,0.0
Ja,expected_char_class,thai_numeral,6,4,2,2,7.8606221491636825,0.8462659928942218,0.16666666666666666,0.0,0.0,0.0,42278.25,42278.25,0.0,0.25
