short_window_id,cluster_id,window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
EP030,3,20260423062023-gejtas__9__P06__E003,20260423062023-gejtas__9__P06,เทพซ่า676767677,P06,3,27,43,17,2088,5,5,6,0.3965364385310044,567.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP031,3,20260420042552-1pdrvw3__7__P11__E001,20260420042552-1pdrvw3__7__P11,sine,P11,1,2,18,17,2744,5,5,6,0.3223878359653101,497.0,deep_overshoot_then_recovery,rhythmic_repetition
EP032,3,20260420151441-b4zwmo__5__P05__E001,20260420151441-b4zwmo__5__P05,Mick,P05,1,24,38,15,2566,4,4,5,0.4283077597119445,1265.0,deep_overshoot_then_recovery,twisted_proverb
EP033,3,20260423022204-r0lr3h__4__P03__E004,20260423022204-r0lr3h__4__P03,name,P03,4,31,47,17,2212,5,5,6,0.253911825420182,391.0,deep_overshoot_then_recovery,formal_register
EP034,3,20260422072716-gd04si__13__P14__E012,20260422072716-gd04si__13__P14,เจ,P14,12,128,146,19,1800,6,6,5,0.054412629575205,160.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP035,3,20260422132335-1ewston__13__P14__E030,20260422132335-1ewston__13__P14,Shimmy,P14,30,187,205,19,1599,6,6,5,-0.074582112814753,151.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP036,3,20260419145443-omhtrx__2__P02__E001,20260419145443-omhtrx__2__P02,JJ,P02,1,1,13,13,3796,4,4,5,0.3099129767226892,978.0,deep_overshoot_then_recovery,familiar_polite
EP037,3,20260423022204-r0lr3h__14__P13__E025,20260423022204-r0lr3h__14__P13,name,P13,25,218,234,17,2337,5,5,5,0.1868762995219861,550.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP038,3,20260423113659-1pcez16__10__P08__E002,20260423113659-1pcez16__10__P08,march,P08,2,32,48,17,1245,5,5,6,0.0169572689805099,294.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP039,3,20260420151441-b4zwmo__5__P05__E002,20260420151441-b4zwmo__5__P05,Mick,P05,2,34,48,15,2224,4,4,5,0.3163480479175391,799.0,deep_overshoot_then_recovery,twisted_proverb
EP040,3,20260423060813-rjwkd0__14__P13__E008,20260423060813-rjwkd0__14__P13,Tack,P13,8,85,101,17,2147,5,5,4,0.0768811316538656,430.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP041,3,20260420162459-1rqejrq__14__P13__E005,20260420162459-1rqejrq__14__P13,Plub,P13,5,105,119,15,1709,4,4,5,0.187524272620796,632.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP042,3,20260419145443-omhtrx__8__P10__E002,20260419145443-omhtrx__8__P10,JJ,P10,2,1,12,12,3006,3,3,4,0.3875330549415025,1293.0,deep_overshoot_then_recovery,thai_numerals
EP043,3,20260420063815-19rm65e__8__P10__E004,20260420063815-19rm65e__8__P10,superidol,P10,4,34,48,15,3284,4,4,5,0.4317641051644141,467.0,deep_overshoot_then_recovery,thai_numerals
EP044,2,20260423062023-gejtas__9__P06__E004,20260423062023-gejtas__9__P06,เทพซ่า676767677,P06,4,45,59,15,2635,4,4,4,0.5977953097765146,765.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP045,3,20260420042552-1pdrvw3__12__P12__E003,20260420042552-1pdrvw3__12__P12,sine,P12,3,125,139,15,1856,4,4,5,0.1571431817476521,518.0,deep_overshoot_then_recovery,long_familiar_expository
EP046,3,20260422131421-bqkmv2__5__P05__E003,20260422131421-bqkmv2__5__P05,Kurosagi Ichigo,P05,3,19,33,15,3337,4,4,5,0.504176948934082,399.0,deep_overshoot_then_recovery,twisted_proverb
EP047,3,20260423060813-rjwkd0__5__P05__E004,20260423060813-rjwkd0__5__P05,Tack,P05,4,28,44,17,1679,5,5,4,0.0705757365942912,286.0,deep_overshoot_then_recovery,twisted_proverb
EP048,3,20260423060813-rjwkd0__14__P13__E011,20260423060813-rjwkd0__14__P13,Tack,P13,11,174,188,15,1829,4,4,5,0.1914720976941023,430.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP049,3,20260423114247-jugfhg__6__P09__E001,20260423114247-jugfhg__6__P09,Bao,P09,1,8,20,13,2417,3,3,4,0.2362090118788566,1143.0,deep_overshoot_then_recovery,arabic_numerals
