prompt_id,anon_id,role,rank,subseq_start_event,subseq_end_event,mp_distance,series_length,window
P14,U23,motif,3,1,16,2.6801984097170415,147,16
P14,U23,discord,1,54,69,4.2932940156515915,147,16
P14,U23,discord,2,86,101,4.136849998393564,147,16
P14,U23,discord,3,24,39,4.017744458593829,147,16
P14,U24,motif,1,18,33,2.727692148832794,179,16
P14,U24,motif,2,65,80,2.727692148832794,179,16
P14,U24,motif,3,102,117,2.8525153637787497,179,16
P14,U24,discord,1,92,107,4.1142014938499125,179,16
P14,U24,discord,2,120,135,4.078511100110752,179,16
P14,U24,discord,3,150,165,3.9998068003840035,179,16
P14,U25,motif,1,87,102,2.8275019126481133,171,16
P14,U25,motif,2,143,158,2.8275019126481133,171,16
P14,U25,motif,3,63,78,2.944241071271244,171,16
P14,U25,discord,1,37,52,4.2574319930855244,171,16
P14,U25,discord,2,14,29,3.875399894558404,171,16
P14,U25,discord,3,135,150,3.8745470601399745,171,16
P14,U26,motif,1,24,39,2.2652653358834995,271,16
P14,U26,motif,2,136,151,2.2652653358834995,271,16
P14,U26,motif,3,4,19,2.573571291250223,271,16
P14,U26,discord,1,74,89,4.056449757115843,271,16
P14,U26,discord,2,41,56,3.901483709439927,271,16
P14,U26,discord,3,141,156,3.8456922899606014,271,16
